ID,NAME,LAT(D),LON(D),ALT(M),DATE(YMD),TIME,BAT(v),GPS,RFS(m),RFD(m),T(c),TN(c),TX(C),TNX(C),RH(%),WD1(D),WS1(m/s),WD2(D),WS2(m/s),SLP(hPa),SS(min),ST1(c),SM1(m3/m3),ST2(c),SM2(m3/m3),ST3(c),SM3(m3/m3),ST4(c),SM4(m3/m3),WSM1(m/s),WSM2(m/s)
"10035",Radhiya,26.554420,84.627580,67.00,2021-02-09,18:15:00,12.2,L,0,0,18.5,18.5,19,,72.0999999999999943,0,0,,,1008.39999999999998,,,,,,,,,,0,
"10048",Bankatwa,26.799485,85.042796,76.00,2021-02-09,18:15:00,12.6,L,0,0,17.8999999999999986,17.8999999999999986,18.8000000000000007,,76.4000000000000057,0,0,,,-999,,,,,,,,,,0,
"10045",Ghorasahan,26.797060,85.130824,78.00,2021-02-09,18:15:00,12.3,L,0,0,18.8000000000000007,18.8000000000000007,19.1999999999999993,,74.4000000000000057,0,0,,,1007.5,,,,,,,,,,0,
"10046",Chiraia,26.701710,85.075720,73.00,2021-02-09,18:15:00,12.7,L,0,0,19,19,19.3000000000000007,,72.2000000000000028,0,0,,,-999,,,,,,,,,,0,
"10051",Ramgarhwa,26.875030,84.791200,76.00,2021-02-09,18:15:00,12.8,L,0,0,-99,-99,-99,,-99,-99,-99,,,-99,,,,,,,,,,-99,
"10026",Chandi,25.320310,85.409290,56.00,2021-02-09,18:15:00,12.7,L,0,0,16.8000000000000007,16.8000000000000007,17.3999999999999986,,77.5999999999999943,0,0,,,1010.29999999999995,,,,,,,,,,0,
"10044",Dhaka,26.671040,85.156620,73.00,2021-02-09,18:15:00,12.6,L,0,0,19.8000000000000007,19.8000000000000007,20.6000000000000014,,62.1000000000000014,0,0,,,1006.39999999999998,,,,,,,,,,0,
"10002",Kishanpur,26.213383,86.679374,59.00,2021-02-09,18:15:00,12.3,L,0,0,18.8999999999999986,18.8999999999999986,19.5,,70.4000000000000057,0,0,,,1008,,,,,,,,,,0,
"10033",Harsidhi,26.672680,84.718820,77.00,2021-02-09,18:15:00,12.9,L,0,0,46.7999999999999972,46.7999999999999972,46.7999999999999972,,0.100000000000000006,0,0,,,-99,,,,,,,,,,0,
"10016",Adhampur,25.036102,85.528875,70.00,2021-02-09,18:15:00,12.3,L,0,0,19.1000000000000014,19.1000000000000014,19.6000000000000014,,73.2999999999999972,210,0,,,1006.70000000000005,,,,,,,,,,0.390000000000000013,
"10038",Kalyanpur,26.432855,84.925760,66.00,2021-02-09,18:15:00,12.8,L,0,0,17.6999999999999993,17.6999999999999993,18.1999999999999993,,71.7000000000000028,0,0,,,1005.29999999999995,,,,,,,,,,0,
"10043",Patahi,26.561810,85.141017,69.00,2021-02-09,18:15:00,12.8,L,0,0,17.5,17.5,17.8999999999999986,,74.2000000000000028,-99,-99,,,1007.5,,,,,,,,,,-99,
"10036",North Bariariya,26.486060,84.708578,66.00,2021-02-09,18:15:00,12.6,L,0,0,20.5,20.5,20.8000000000000007,,70.2000000000000028,-99,-99,,,1006.20000000000005,,,,,,,,,,-99,
"10055",Devajit Parsauni,26.338150,85.088000,65.00,2021-02-09,18:15:00,12.8,L,0,0,17.5,17.5,18.3000000000000007,,80.5,0,0,,,1008,,,,,,,,,,0,
"10057",Induat,25.312119,85.309134,60.00,2021-02-09,18:15:00,12.8,L,0,0,18.8000000000000007,18.8000000000000007,19.6000000000000014,,68.5999999999999943,45,2.31000000000000005,,,1008.29999999999995,,,,,,,,,,43.3100000000000023,
"10001",Supaul,26.127456,86.605336,52.00,2021-02-09,18:15:00,12.1,L,0,0,20.6000000000000014,20.6000000000000014,20.8000000000000007,,57.7000000000000028,258,0,,,1008.70000000000005,,,,,,,,,,0.390000000000000013,
"10005",Pipra,26.163217,86.799423,57.00,2021-02-09,18:15:00,12.7,L,0,0,18.1000000000000014,18.1000000000000014,18.6000000000000014,,75.7999999999999972,0,0,,,1009.10000000000002,,,,,,,,,,0,
