ID,NAME,LAT(D),LON(D),ALT(M),DATE(YMD),TIME,BAT(v),GPS,RFS(m),RFD(m),T(c),TN(c),TX(C),TNX(C),RH(%),WD1(D),WS1(m/s),WD2(D),WS2(m/s),SLP(hPa),SS(min),ST1(c),SM1(m3/m3),ST2(c),SM2(m3/m3),ST3(c),SM3(m3/m3),ST4(c),SM4(m3/m3),WSM1(m/s),WSM2(m/s)
"10033",Harsidhi,26.672680,84.718820,77.00
"10028",Tharthari,25.289700,85.382524,52.00
"10044",Dhaka,26.671040,85.156620,73.00
"10043",Patahi,26.561810,85.141017,69.00
"10017",Katrisarai,25.086580,85.634330,62.00
"10018",Rajgir,25.035110,85.422188,69.00
"10038",Kalyanpur,26.432855,84.925760,66.00
"10055",Devajit Parsauni,26.338150,85.088000,65.00
"10027",Noorsarai,25.267580,85.459110,54.00
"10016",Adhampur,25.036102,85.528875,70.00
"10035",Radhiya,26.554420,84.627580,67.00
"10029",Turkaulia,26.614360,84.826610,71.00
